STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,YTD_SNOW,SNOW_PCT,TAVG,TMAX,TMIN
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100101,0.9,10,21.9,34.4,9.3
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100102,1.9,10,21.9,34.5,9.3
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100103,2.8,10,22,34.6,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100104,3.7,10,22,34.7,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100105,4.6,10,22.1,34.7,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100106,5.5,10,22.1,34.8,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100107,6.4,9,22.2,34.9,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100108,7.2,9,22.2,35,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100109,8.1,9,22.2,35.1,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100110,9,9,22.3,35.1,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100111,9.9,8,22.3,35.2,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100112,10.7,8,22.4,35.3,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100113,11.6,8,22.4,35.4,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100114,12.5,8,22.4,35.4,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100115,13.4,7,22.5,35.5,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100116,14.3,7,22.5,35.6,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100117,15.1,7,22.5,35.7,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100118,16,7,22.6,35.7,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100119,16.9,6,22.6,35.8,9.4
