Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Bretton Woods,"New Hampshire, USA",1,1,3,1600ft,3100ft,1500ft,2mi,400ac,0.25,0.29,0.3,0.16
Brian Head Resort,"Utah, USA",1,0,1,9600ft,11307ft,1707ft,0.6mi,216ac,0.3,0.35,0.32,0.03
Bridger Bowl,"Montana, USA",1,1,0,6100ft,8700ft,2600ft,3mi,100ac,0.12,0.28,0.18,0.42
Brighton Resort,"Utah, USA",0,1,1,8755ft,10500ft,1745ft,1.2mi,200ac,0.21,0.39,0.25,0.15
Bristol Mountain,"New York, USA",1,1,1,1000ft,2200ft,1200ft,2mi,148ac,0.35,0.45,0.2,0
Bromley Mountain,"Vermont, USA",4,1,3,1950ft,3284ft,1334ft,2.5mi,155ac,0.3,0.36,0.32,0.02
Bruce Mound,"Wisconsin, USA",0,0,4,1000ft,1375ft,375ft,0.5mi,30ac,0.17,0.17,0.5,0.16
Brundage Mountain Resort,"Idaho, USA",0,0,1,5840ft,7640ft,1800ft,3.2mi,2ac,0.2,0.5,0.1,0.2
Bryce Resort,"Virginia, USA",1,1,5,1250ft,1750ft,500ft,0.4mi,25ac,0.38,0.5,0.13,0
Buck Hill,"Minnesota, USA",0,2,5,919ft,1225ft,309ft,0.2mi,45ac,0.34,0.34,0.16,0.16
Buena Vista Ski Area,"Minnesota, USA",2,0,2,1280ft,1510ft,230ft,0.3mi,30ac,0.2,0.55,0.25,0
Buffalo Ski Club Ski Area,"New York, USA",2,0,4,2025ft,3429ft,500ft,0mi,150ac,0.2,0.46,0.34,0
Burke Mountain,"Vermont, USA",0,1,3,1210ft,3267ft,2011ft,2.2mi,125ac,0.11,0.46,0.34,0.09
Caberfae Peaks,"Michigan, USA",1,1,1,1060ft,1569ft,485ft,1.2mi,200ac,0.35,0.35,0.29,0
Camden Snow Bowl,"Maine, USA",1,0,1,150ft,1080ft,850ft,1mi,48ac,0.09,0.3,0.61,0
Camelback Mountain Resort,"Pennsylvania, USA",5,0,6,1250ft,2100ft,800ft,1mi,160ac,0.32,0.32,0.32,0.03
Campgaw Mountain,"New Jersey, USA",2,0,3,450ft,726ft,274ft,0.3mi,23ac,0.33,0.33,0.25,0.08
Canaan Valley Resort,"West Virginia, USA",0,1,2,3430ft,4280ft,850ft,1.2mi,75ac,0.19,0.36,0.43,0.02
Cannon Mountain,"New Hampshire, USA",1,2,3,1900ft,4080ft,2180ft,2.3mi,192ac,0.14,0.53,0.33,0
Cannonsburg,"Michigan, USA",1,1,7,850ft,1100ft,250ft,0.1mi,0ac,0.35,0.5,0.15,0
Cascade Mountain,"Wisconsin, USA",2,2,3,820ft,1280ft,460ft,1.1mi,175ac,0.4,0.38,0,0.22
Cataloochee Ski Area,"North Carolina, USA",1,1,2,4660ft,5400ft,740ft,1mi,50ac,0.44,0.39,0,0.17
Catamount,"New York, USA",2,1,3,1000ft,2000ft,1000ft,2mi,130ac,0.36,0.44,0.14,0.06
Chestnut Mountain Resort,"Illinois, USA",0,2,3,565ft,1040ft,475ft,0.2mi,139ac,0.3,0.4,0.2,0.1
Christie Mountain,"Wisconsin, USA",1,0,5,1300ft,1650ft,350ft,0.8mi,41ac,0.37,0.23,0.3,0.1
Christmas Mountain,"Wisconsin, USA",2,0,3,1000ft,1250ft,250ft,0.4mi,40ac,0.4,0.4,0.2,0
Coffee Mill Ski & Snowboard Resort,"Minnesota, USA",2,0,1,725ft,1150ft,425ft,1mi,35ac,0.35,0.29,0.07,0.29
Cooper,"Colorado, USA",1,0,2,10500ft,11700ft,1300ft,1mi,0ac,0.28,0.36,0.36,0
Cooper Spur,"Oregon, USA",1,0,1,3500ft,4000ft,350ft,0.1mi,0ac,0.4,0.6,0,0
