Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Powder Mountain,"Utah, USA",0,4,3,6900ft,9422ft,2522ft,3.5mi,0ac,0.25,0.4,0.35,0
Powder Ridge Park,"Connecticut, USA",2,0,2,170ft,720ft,550ft,0.5mi,68ac,0.42,0.37,0.21,0
Powder Ridge Ski Area,"Minnesota, USA",2,1,3,500ft,790ft,300ft,0mi,60ac,0.4,0.4,0.2,0
Purgatory,"Colorado, USA",3,0,3,8793ft,10822ft,2029ft,1.3mi,250ac,0.2,0.45,0.3,0.05
Ragged Mountain Resort,"New Hampshire, USA",1,0,3,1000ft,2250ft,1250ft,0.7mi,200ac,0.23,0.3,0.39,0.07
Red Lodge Mountain,"Montana, USA",3,0,1,7016ft,9416ft,2400ft,2.5mi,496ac,0.18,0.28,0.35,0.18
Red River,"New Mexico, USA",1,1,2,8750ft,10350ft,1600ft,2.5mi,225ac,0.32,0.38,0.3,0
Roundtop Mountain Resort,"Pennsylvania, USA",0,3,3,800ft,1400ft,600ft,0.4mi,103ac,0.2,0.25,0.4,0.15
Royal Mountain Ski Area,"New York, USA",3,0,0,1250ft,1800ft,550ft,0.3mi,28ac,0.33,0.34,0.33,0
Saddleback Inc.,"Maine, USA",2,2,1,2460ft,4120ft,2000ft,3.1mi,125ac,0.35,0.3,0.25,0.1
Sandia Peak,"New Mexico, USA",4,0,1,8678ft,10378ft,1700ft,2mi,30ac,0.31,0.46,0.23,0
Sapphire Valley,"North Carolina, USA",0,1,2,3200ft,3450ft,200ft,1mi,8ac,0,0,0,0
Schweitzer,"Idaho, USA",3,0,2,4000ft,6400ft,2400ft,2.1mi,47ac,0.1,0.4,0.35,0.15
Seven Oaks,"Iowa, USA",0,0,2,800ft,975ft,275ft,1mi,35ac,0.25,0.5,0.25,0
Seven Springs,"Pennsylvania, USA",0,3,4,2240ft,2994ft,750ft,1.2mi,285ac,0.36,0.42,0.18,0.03
Shanty Creek Resorts – Schuss Mountain,"Michigan, USA",0,5,3,675ft,1125ft,450ft,1mi,70ac,0.31,0.26,0.43,0
Shanty Creek Resorts – Summit Mountain,"Michigan, USA",2,0,1,675ft,1125ft,450ft,1mi,N/A,0.18,0.45,0.36,0
Shawnee Mountain Ski Area,"Pennsylvania, USA",4,1,4,650ft,1350ft,700ft,1.6mi,125ac,0.26,0.48,0.26,0
Shawnee Peak,"Maine, USA",1,1,1,600ft,1900ft,1350ft,0.8mi,234ac,0.25,0.45,0.2,0.1
Showdown Montana,"Montana, USA",2,0,1,6800ft,8200ft,1400ft,1.8mi,0ac,0.28,0.44,0.28,0
Sierra-at-Tahoe,"California, USA",5,0,5,6640ft,8852ft,2212ft,2.5mi,200ac,0.25,0.5,0.15,0.1
Silver Mountain,"Idaho, USA",2,1,1,4100ft,6300ft,2200ft,2.5mi,225ac,0.2,0.4,0.3,0.1
Silverton Mountain,"Colorado, USA",1,0,0,10400ft,13487ft,3087ft,1.5mi,0ac,0,0,0,1
Sipapu Ski Resort,"New Mexico, USA",0,1,3,8200ft,9255ft,1055ft,0.5mi,140ac,0.2,0.4,0.3,0.1
Ski Apache,"New Mexico, USA",0,2,2,9600ft,11500ft,1900ft,2mi,270ac,0.18,0.55,0.27,0
Ski Big Bear,"Pennsylvania, USA",4,0,2,600ft,1250ft,650ft,1.5mi,26ac,0.33,0.28,0.33,0.06
Ski Brule,"Michigan, USA",5,0,6,1360ft,1860ft,500ft,1mi,150ac,0.35,0.35,0.24,0.06
Ski Butternut,"Massachusetts, USA",1,3,6,800ft,1800ft,1000ft,1.5mi,110ac,0.2,0.6,0.2,0
Ski China Peak,"California, USA",3,0,4,7030ft,8709ft,1679ft,2.2mi,150ac,0.11,0.28,0.33,0.28
Ski Granby Ranch,"Colorado, USA",1,0,1,8202ft,9202ft,1000ft,0.6mi,170ac,0.36,0.4,0.24,0
Ski Santa Fe,"New Mexico, USA",2,1,2,10350ft,12075ft,1725ft,3mi,275ac,0.2,0.4,0.35,0.05
Ski Sawmill,"Pennsylvania, USA",1,0,3,1700ft,2215ft,515ft,0.1mi,13ac,0.35,0.25,0.4,0
Ski Snowstar Winter Sports Park,"Illinois, USA",2,2,2,528ft,790ft,262ft,0.8mi,28ac,0.13,0.2,0.27,0.4
Ski Sundown,"Connecticut, USA",0,0,2,450ft,1075ft,625ft,1mi,70ac,0.5,0.25,0.19,0.06
Ski Ward,"Massachusetts, USA",0,0,3,210ft,420ft,210ft,0.2mi,45ac,0.3,0.5,0.2,0
Sleeping Giant Ski Resort,"Wyoming, USA",1,0,1,6619ft,7428ft,810ft,1mi,18ac,0.15,0.38,0.35,0.13
Smugglers' Notch Resort,"Vermont, USA",6,0,2,1030ft,3640ft,2610ft,3mi,192ac,0.19,0.5,0.25,0.06
Snowbasin,"Utah, USA",0,0,2,6400ft,9350ft,2950ft,3.5mi,625ac,0.11,0.43,0.24,0.22
Snowbird,"Utah, USA",6,0,1,7760ft,11000ft,3240ft,2.5mi,0ac,0.27,0.38,0.2,0.15
Snow Creek,"Missouri, USA",1,0,2,800ft,1100ft,300ft,0.3mi,30ac,0.22,0.39,0.39,0
Snow King Resort,"Wyoming, USA",1,1,0,6237ft,7808ft,1571ft,1mi,250ac,0.15,0.25,0.2,0.4
Snow Ridge,"New York, USA",4,0,2,1350ft,2000ft,650ft,0.8mi,65ac,0.14,0.33,0.33,0.19
Snowshoe Mountain Resort,"West Virginia, USA",0,2,3,3348ft,4848ft,1500ft,1.5mi,256ac,0.36,0.33,0.19,0.03
Snow Snake Mountain Ski Area,"Michigan, USA",0,0,5,1020ft,1230ft,210ft,0mi,40ac,0.3,0.5,0.2,0
Snow Summit,"California, USA",5,0,5,7000ft,8200ft,1200ft,1.2mi,240ac,0.13,0.65,0.13,0.1
Snow Trails,"Ohio, USA",2,0,3,1174ft,1475ft,301ft,0.2mi,80ac,0.2,0.6,0.2,0
Snow Valley,"California, USA",6,0,1,6800ft,7841ft,1041ft,1.2mi,188ac,0.14,0.46,0.32,0.07
Snowy Range Ski & Recreation Area,"Wyoming, USA",3,0,1,8798ft,9663ft,990ft,0.7mi,30ac,0.3,0.4,0.3,0
Soda Springs,"California, USA",1,0,2,6700ft,7352ft,652ft,0.4mi,20ac,0.23,0.31,0.46,0
Soldier Mountain Ski Area,"Idaho, USA",2,0,1,5800ft,7200ft,1400ft,0.4mi,0ac,0.2,0.5,0.1,0.2
Solitude Mountain Resort,"Utah, USA",1,2,0,8005ft,10035ft,2030ft,3mi,150ac,0.1,0.4,0.36,0.14
Song Mountain,"New York, USA",1,0,3,1240ft,1940ft,700ft,0.4mi,70ac,0.5,0.29,0.13,0.08
Spirit Mountain,"Minnesota, USA",1,1,2,620ft,1320ft,700ft,1mi,175ac,0.32,0.41,0.27,0
Spout Springs,"Oregon, USA",2,0,2,4850ft,5500ft,610ft,0.1mi,0ac,0.45,0.35,0.2,0
Spring Mountain Ski Area,"Pennsylvania, USA",3,0,2,78ft,528ft,450ft,0.2mi,45ac,0.37,0.5,0.13,0
Squaw Valley - Alpine Meadows,"California, USA",10,1,7,6200ft,9050ft,2850ft,3.2mi,1000ac,0.25,0.42,0.33,0
Steamboat,"Colorado, USA",2,0,2,6900ft,10568ft,3668ft,3mi,375ac,0.14,0.42,0.44,0
Stevens Pass Resort,"Washington, USA",3,0,0,4061ft,5845ft,1800ft,1mi,0ac,0.06,0.48,0.28,0.18
Stowe Mountain Resort,"Vermont, USA",2,4,3,2035ft,4395ft,2360ft,3.7mi,388ac,0.16,0.55,0.15,0.14
Stratton Mountain,"Vermont, USA",1,3,2,1872ft,3875ft,2003ft,3mi,570ac,0.41,0.31,0.17,0.11
Sugar Bowl Resort,"California, USA",2,3,1,6883ft,8383ft,1500ft,3mi,375ac,0.17,0.45,0.26,0.12
Sugarbush,"Vermont, USA",4,2,3,1483ft,4083ft,2600ft,3mi,356ac,0.23,0.42,0.27,0.07
Sugarloaf,"Maine, USA",5,3,2,1417ft,4237ft,2820ft,3.5mi,618ac,0.23,0.34,0.28,0.16
Sugar Mountain Resort,"North Carolina, USA",4,0,2,4100ft,5300ft,1200ft,1.5mi,125ac,0.33,0.52,0.1,0.05
Suicide Six,"Vermont, USA",2,0,1,550ft,1200ft,650ft,0.4mi,50ac,0.3,0.4,0.3,0
Sunburst,"Wisconsin, USA",3,0,6,866ft,1100ft,214ft,0.5mi,37ac,0.15,0.46,0.31,0.08
Sundance,"Utah, USA",0,2,1,6100ft,8250ft,2150ft,0.6mi,112ac,0.35,0.45,0.19,0.01
Sunday River,"Maine, USA",1,5,1,825ft,3150ft,2340ft,3mi,552ac,0.21,0.32,0.23,0.23
Sundown Mountain,"Iowa, USA",2,1,2,584ft,1059ft,475ft,0.6mi,55ac,0.3,0.6,0,0.1
Sunlight Mountain Resort,"Colorado, USA",2,0,0,7885ft,9895ft,2010ft,2.5mi,21ac,0.2,0.55,0.2,0.05
Sunrise Park Resort,"Arizona, USA",1,2,0,9200ft,11100ft,1800ft,1.2mi,80ac,0.4,0.4,0.2,0
Sun Valley,"Idaho, USA",2,0,3,5750ft,9150ft,3400ft,4mi,645ac,0.36,0.42,0.2,0.02
Swain,"New York, USA",1,3,1,1320ft,1970ft,650ft,1mi,90ac,0.27,0.39,0.33,0
Swiss Valley,"Michigan, USA",0,2,4,975ft,1200ft,225ft,0.1mi,60ac,0.36,0.36,0.27,0
Tahoe Donner,"California, USA",1,1,3,6750ft,7350ft,600ft,1mi,0ac,0.4,0.6,0,0
Tamarack Resort,"Idaho, USA",0,2,2,4900ft,7700ft,2800ft,1.5mi,200ac,0.17,0.45,0.38,0
Taos Ski Valley,"New Mexico, USA",2,4,3,9207ft,12481ft,3274ft,5mi,647ac,0.24,0.25,0.33,0.18
Telluride,"Colorado, USA",2,1,4,8725ft,13150ft,4425ft,4.6mi,220ac,0.14,0.29,0.26,0.31
Terry Peak Ski Area,"South Dakota, USA",0,0,1,5900ft,7100ft,1100ft,1.2mi,225ac,0.2,0.5,0.15,0.15
Teton Pass Ski Resort,"Montana, USA",1,0,2,6190ft,7200ft,1010ft,3mi,0ac,0.15,0.35,0.4,0.1
The Homestead,"Michigan, USA",1,0,2,580ft,900ft,320ft,0.2mi,16ac,0.27,0.47,0.27,0
The Homestead Ski Area,"Virginia, USA",1,0,4,2500ft,3200ft,700ft,1mi,100ac,0.33,0.33,0.34,0
The Summit at Snoqualmie,"Snoqualmie Pass, USA",10,3,7,2640ft,5420ft,2280ft,0.8mi,5ac,0.17,0.37,0.37,0.1
Thunder Ridge,"New York, USA",2,0,3,770ft,1270ft,500ft,0.4mi,100ac,0.4,0.4,0.2,0
Timberline Four Seasons,"West Virginia, USA",1,0,1,3268ft,4268ft,1000ft,2mi,100ac,0.34,0.32,0.14,0.2
Timberline Lodge,"Oregon, USA",0,0,5,6000ft,8540ft,3690ft,2mi,0ac,0.25,0.5,0.25,0
Timber Ridge,"Michigan, USA",2,1,4,600ft,850ft,250ft,0.3mi,50ac,0.44,0.38,0,0.19
Titus Mountain,"New York, USA",6,0,2,825ft,2025ft,1200ft,2mi,150ac,0.34,0.38,0.22,0.06
Toggenburg Mountain,"New York, USA",1,0,3,1300ft,2000ft,700ft,0.4mi,0ac,0.33,0.33,0.34,0
Treetops Resort,"Michigan, USA",0,0,2,1120ft,1345ft,225ft,0.2mi,80ac,0.17,0.43,0.39,0
Trollhaugen,"Wisconsin, USA",1,2,5,920ft,1200ft,260ft,0.5mi,86ac,0.26,0.39,0.35,0
Tussey Mountain,"Pennsylvania, USA",1,1,3,1230ft,1750ft,520ft,0.3mi,30ac,0.4,0.4,0,0.2
Tyrol Basin,"Wisconsin, USA",0,0,2,860ft,1160ft,300ft,0.5mi,32ac,0.23,0.33,0.4,0.04
Vail,"Colorado, USA",0,1,9,8120ft,11570ft,3450ft,4mi,461ac,0.18,0.29,0.28,0.25
Villa Olivia,"Illinois, USA",0,1,6,320ft,500ft,180ft,0.1mi,15ac,0.4,0.4,0.1,0.1
Wachusett Mountain Ski Area,"Massachusetts, USA",0,0,4,1006ft,2006ft,1000ft,1.5mi,108ac,0.3,0.4,0.3,0
Waterville Valley,"New Hampshire, USA",3,0,4,1984ft,4004ft,2020ft,3mi,220ac,0.15,0.6,0.22,0.03
Welch Village,"Minnesota, USA",4,3,2,700ft,1060ft,360ft,0.8mi,125ac,0.31,0.5,0.15,0.04
West Mountain,"New York, USA",2,0,2,460ft,1470ft,1010ft,0.6mi,105ac,0.36,0.55,0.09,0
Whaleback Mountain,"New Hampshire, USA",1,0,2,1100ft,1800ft,700ft,1mi,60ac,0.23,0.41,0.23,0.13
Whitecap Mountain,"Wisconsin, USA",4,1,2,1295ft,1750ft,400ft,1mi,300ac,0.33,0.33,0.22,0.12
Whiteface Mountain Resort,"New York, USA",5,1,1,1220ft,4650ft,3430ft,2.1mi,220ac,0.2,0.42,0.38,0
Whitefish Mountain Resort,"Montana, USA",0,2,3,4464ft,6817ft,2353ft,3.3mi,600ac,0.12,0.4,0.42,0.06
White Pass,"Washington, USA",2,1,2,4500ft,6550ft,2050ft,2.5mi,30ac,0.2,0.6,0.2,0
White Pine Ski Area,"Wyoming, USA",0,0,0,8400ft,9500ft,1100ft,0.4mi,0ac,0.28,0.32,0.4,0
Whitetail Resort,"Pennsylvania, USA",2,3,2,865ft,1800ft,935ft,1mi,120ac,0.32,0.45,0.23,0
Wildcat Mountain,"New Hampshire, USA",0,0,1,1950ft,4062ft,2112ft,2.8mi,200ac,0.21,0.46,0.33,0
Wild Mountain Ski & Snowboard Area,"Minnesota, USA",0,4,4,813ft,1113ft,300ft,0.9mi,100ac,0.3,0.33,0.33,0.04
Willamette Pass,"Oregon, USA",0,0,1,5120ft,6683ft,1563ft,2.1mi,60ac,0.21,0.45,0.1,0.24
Willard Mountain,"New York, USA",2,0,3,910ft,1415ft,505ft,0.4mi,35ac,0.3,0.4,0.3,0
Wilmot Mountain,"Wisconsin, USA",2,3,3,800ft,1030ft,230ft,0.5mi,135ac,0.4,0.35,0.25,0
Windham Mountain,"New York, USA",1,0,5,1500ft,3100ft,1600ft,2mi,280ac,0.3,0.43,0.16,0.11
Wintergreen Resort,"Virginia, USA",1,1,0,2512ft,3515ft,1003ft,1mi,129ac,0.23,0.35,0.42,0
Winter Park Resort,"Colorado, USA",6,0,5,9000ft,12060ft,3060ft,4.6mi,299ac,0.24,0.38,0.34,0.05
Winterplace Ski Resort,"West Virginia, USA",2,2,2,2997ft,3600ft,603ft,1.2mi,90ac,0.37,0.4,0.23,0
Wisp,"Maryland, USA",0,2,5,2415ft,3115ft,700ft,1.5mi,118ac,0.35,0.38,0.27,0
Wolf Creek Ski Area,"Colorado, USA",1,1,3,10300ft,11904ft,1604ft,2mi,5ac,0.2,0.25,0.35,0.2
Wolf Ridge Ski Resort,"North Carolina, USA",1,1,2,4000ft,4700ft,720ft,0.6mi,65ac,0.27,0.6,0.13,0
Woodbury Ski Area,"Connecticut, USA",1,0,4,430ft,730ft,300ft,0.2mi,50ac,0.25,0.25,0.25,0.25
Woods Valley Ski Area,"New York, USA",2,0,4,900ft,1400ft,500ft,0.3mi,16ac,0.2,0.6,0.2,0
Yawgoo Valley,"Rhode Island, USA",2,0,2,70ft,315ft,245ft,0.2mi,30ac,0.3,0.4,0.3,0
Yosemite Ski & Snowboard Area,"California, USA",3,0,1,7200ft,7800ft,600ft,0.4mi,0ac,0.35,0.5,0.15,0
